Date,Day,Month,Quarter,Year,DayOfWeek,WeekOfYear
2024-04-09,9,4,2,2024,Tuesday,15
2024-09-02,2,9,3,2024,Monday,36
2024-08-21,21,8,3,2024,Wednesday,34
2024-01-10,10,1,1,2024,Wednesday,2
2024-09-03,3,9,3,2024,Tuesday,36
2024-09-05,5,9,3,2024,Thursday,36
2024-11-13,13,11,4,2024,Wednesday,46
2024-04-15,15,4,2,2024,Monday,16
2024-07-09,9,7,3,2024,Tuesday,28
2024-06-06,6,6,2,2024,Thursday,23
2024-02-27,27,2,1,2024,Tuesday,9
2024-05-31,31,5,2,2024,Friday,22
2024-04-18,18,4,2,2024,Thursday,16
2024-02-02,2,2,1,2024,Friday,5
2024-04-07,7,4,2,2024,Sunday,14
2024-08-30,30,8,3,2024,Friday,35
2024-10-14,14,10,4,2024,Monday,42
2024-08-18,18,8,3,2024,Sunday,33
2024-09-14,14,9,3,2024,Saturday,37
2024-08-06,6,8,3,2024,Tuesday,32
2024-06-14,14,6,2,2024,Friday,24
2024-05-13,13,5,2,2024,Monday,20
2024-09-20,20,9,3,2024,Friday,38
2024-08-17,17,8,3,2024,Saturday,33
2024-03-28,28,3,1,2024,Thursday,13
2024-01-01,1,1,1,2024,Monday,1
2024-10-18,18,10,4,2024,Friday,42
2024-03-02,2,3,1,2024,Saturday,9
2024-06-22,22,6,2,2024,Saturday,25
2024-03-01,1,3,1,2024,Friday,9
2024-02-17,17,2,1,2024,Saturday,7
2024-03-18,18,3,1,2024,Monday,12
2024-09-18,18,9,3,2024,Wednesday,38
2024-11-02,2,11,4,2024,Saturday,44
2024-07-19,19,7,3,2024,Friday,29
2024-04-27,27,4,2,2024,Saturday,17
2024-12-30,30,12,4,2024,Monday,1
2024-10-27,27,10,4,2024,Sunday,43
2024-08-25,25,8,3,2024,Sunday,34
2024-06-25,25,6,2,2024,Tuesday,26
2024-12-08,8,12,4,2024,Sunday,49
2024-01-06,6,1,1,2024,Saturday,1
2024-01-11,11,1,1,2024,Thursday,2
2024-12-21,21,12,4,2024,Saturday,51
2024-12-06,6,12,4,2024,Friday,49
2024-11-12,12,11,4,2024,Tuesday,46
2024-03-25,25,3,1,2024,Monday,13
2024-04-03,3,4,2,2024,Wednesday,14
2024-01-28,28,1,1,2024,Sunday,4
2024-08-03,3,8,3,2024,Saturday,31
2024-04-20,20,4,2,2024,Saturday,16
2024-12-02,2,12,4,2024,Monday,49
2024-01-31,31,1,1,2024,Wednesday,5
2024-12-20,20,12,4,2024,Friday,51
2024-02-14,14,2,1,2024,Wednesday,7
2024-04-10,10,4,2,2024,Wednesday,15
2024-06-23,23,6,2,2024,Sunday,25
2024-09-24,24,9,3,2024,Tuesday,39
2024-09-08,8,9,3,2024,Sunday,36
2024-01-27,27,1,1,2024,Saturday,4
2024-02-21,21,2,1,2024,Wednesday,8
2024-04-26,26,4,2,2024,Friday,17
